r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
25,71,74,257174,azul petroleo,blue oil,  _ _____    ____    _ _    _____ ___ ,dark aqua,dunkel t _rkisblau,dark turquoise blue,darkgreen,darkgreen,     _,green,blue,blue,         ,blue,         ,deep blue-green,midnight smoke,teal,teal,269.38,277.88
26,166,4,261664,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,         ,green,   ,green,dark grass green,lime,grassy green,262.25,379.49
26,17,61,261761,azul,blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,noir-id7,black-blue,     _,blue,blu scuro,dark blue, _       ,black,            ,long navy blue,deepest midnight,black,dark purple,303.2,249.12
26,55,67,265567,verde oscuro,dark green,____    _ ____ _____ __  ,navy,dunkelgrau,dark gray,id7,blue,        _,army green,blu scuro,dark blue,           _    ,dark blue,     _     _,navy,dark blue green,dark blue,dark blue,276.38,281.95
26,81,91,268191,azul,blue,  _   __-  _ ___ __,gray-blue,dunkelgr _n,dark green,id7,blue,     _,blue,blu scurro,blue scurro, __      ,turquoise, _          ,dark blue-green,dark slate green,blue,prussian blue,260.89,270.07
26,89,96,268996,verda azulado,verda blue,  _ ___ __,blue,dunkles t _rkies,dark turquoise,vert marin,sea green,      ,thick blue,verde,green, __   ,teal,      ,dark green,dark turquoise,aqua,prussian blue,256.04,274.74
27,14,56,271456,negro,black,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,noir,black,     _,blue,indigo,indigo,       __   ,the dark blue, _          ,dark blue-violet,deep night blue,black,dark purple,304.75,254.84
27,62,80,276280,azul oscuro,dark blue,____    _ ____ _____ __  ,navy,dunkelblau,dark blue,id7 marine,navy blue,     _,black,blu scuro,dark blue,        __  _   ,dark blue-green,      ,dark blue,depressed blue,blue,dark cerulean,272.7,258.42
28,1,124,281124,azul navy,navy blue,_   ______-  _ ___ __,dark blue,blau,blue,id7,blue,        _,navy blue,blu,blue,    _    ,blue,   ,blue,very dark blue,blue,dark blue,283.57,209.3
28,23,84,282384,azul navy,navy blue,  _ ______-  _ ___ __,dark blue,blau,blue,id7,blue,        _,deep purple,blu,cornflower blue, _   _   ,purple,   ,navy blue,navy dark blue,blue,midnight blue,297.75,237.35
29,26,82,292682,azul,blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,        _,blue-violet,blu,blue,    _    ,blue,           _,dark indigo,electric navy blue,navy,octopus ink,289.61,249.49
29,51,24,295124,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,dunkelgr _n,dark green,noir,black,     _,black,verde scurissimo,dark green,     _   ,dark green,   ,green,midnight black,dark green,forest green,337.73,282.75
29,68,35,296835,verde,green,  _ ______-_ _ _ _ __  __,dark green,moosgr _n,moss green,vert fonc  ,dark green:,        _,dark green,verde scuro,green,         _   ,dark green, _       ,dark green,tropical rain forest,dark green,dark green,292.14,313.46
29,84,84,298484,verde obscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,blau,blue,id7 vert fonce,blue dark green,     _,green,verde scuro,dark green,  _   ,green,                 _  _,much green,dark blue green,green,green,261.96,277.28
30,43,10,304310,verde nocturno,green night,    ______-_ _ _   __  __,dark green,dunkelgr _n,dark green,vert poinnier,green poinnier,        _,army green,nero,black,         _   ,sweet green,   ,black,very dark green,green,green,296.71,281.04
30,63,53,306353,color verde musgo oscuro,dark green moss,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,        _,army green,azzuro scuro,green,  _   ,green,      ,dark green,dark greenish gray,dark green,dark green,281.24,294.7
30,68,61,306861,verde oscuro,dark green,_ _ _ _ __  __,green,gr _n,green,vert,green,        _,army green,verde,green,       _  __   ,dark green,      ,dark green,deep dark green,pine green,pine green,345.33,308.57
30,85,83,308583,azul gris  ceo,blue-gray,  _ _____    ____    _ _    _____ ___ ,dark aqua,schiefergr _n,slate green,vert olive,olive green,     _,green,acquamarina scuro,green,        _   ,dark green,      ,dark green,almostblackgreen,green,green,245.76,281.98
30,95,90,309590,verde tulipan,green tulip,  _ ______-  _ ___ __-_ _ _ _ __  __,dark blue-green,dunkles t _rkis,dark turquoise,sarcelle,teal, _    ,teal green,azzurro,green,     _   ,dark green,   ,green,deep water green,teal,blue green,238.05,293.87
31,21,49,312149,negro,black,      __  __,black,blau,blue,noir,black,     _,black,nero,black, _       ,black,     _,deep blue,midnight purple,black,black,320.05,273.68
31,21,91,312191,azul marino,navy blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,        _,navy blue,blu notte,midnight blue,         ,blue,      ,blue-violet,dark night blue,navy,plum purple,303,225.15
3,141,73,314173,verde oscuro,dark green,_ _ _   __  __,green,mintgr _n,mint green,vert,green,        _,dark green,verde smeraldo,emerald,  _   ,green,     _,green,dark grass green,mint,forest green,229.75,322.74
31,64,17,316417,verde oscuro,dark green,_ _ _ _ __  __,green,dunkel gr _n,dark green,vert tr  s fonc  ,very dark green,      ,dark green,verde,green,  _   ,green,      ,dark green,dark dark green,dark green,dark green,332.28,317.9
3,181,34,318134,verde,green,    _ __ _ _ _ _ __  __,bright green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,   ,green,kelly done bright,green,bright green,231.96,375.57
3,193,27,319327,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,         ,green,     _,green,kermit the frog green,green,meadow green,223.16,396.41
3,208,98,320898,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,      ,light green,verde,green,  _   ,green,   ,green,electric limes,green,electric green,174.93,384.98
32,20,76,322076,azul marino,navy blue,    ______-  _ ___ __,dark blue,dunkel lila,dark purple,id7 marine,navy blue,     _,blue,blue notte,dark blue,      ,blue,  _           _           _,very dark blue,dark purple blue,navy,royal blue,312.73,258.07
32,222,7,322227,verde fosforescente,fluorescent green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert,green,     _,green,verde,green,         _   ,bright green,   ,green,fluorescent green,lime,emerald green,243.35,447.23
3,241,17,324117,verde limon,lime green,  _ _ _   ____  __,green,hellgr _n,light green,vert brillant,bright green,     _,green,verde,green,         ,green,   ,green,glow in the dark green,green,vintage green,222.08,478.63
33,160,8,331608,verde pastizal,green pasture,_ _ _   __  __,green,gr _n,green,vert,green,        _,grass green,verde,yellow-green,        _   ,bright green,   ,green,party green grape,lime,dragon green,272.25,388.35
33,34,72,333472,azul,blue,    ______-  _ ___ __,dark blue,dunkelmarin,dark marine,id7,blue,        _,navy blue,blu scuro,midnight blue,         ,blue,   ,indigo,darkish purple-blue,navy blue,navy blue,295.84,250.99
33,35,66,333566,azul negraceo,blue negraceo,_     __  __,black,dunkelblau,dark blue,id7,blue,     _,blue,antracite intenso,anthracite deep,           _    ,dark blue,   ,black,dark navy blue,navy,navy,297.71,266.65
3,34,171,334171,azul,blue,  _ ______-_____   _ ____,dark blue,dunkelviolettblau,dark violet blue,id7,blue,     _,blue,azzurro,blue,            ,bright blue,      ,blue,bright cresent blue,blue,mayhem blue,236.57,188.98
33,74,79,337479,azul petroleo,blue oil,_ _ _   __  __,green,blaugrau,blue-gray,id7 noir,blue black,        _,dark green,hh,gray and blue,  _   ,green,                 _,about green,deep turquoise,green,midnight blue,260.62,283.48
33,90,77,339077,verde,green,_ _ _   __  __,green,gr _n,green,vert,green,      ,dark green,j,dark green,  _   ,green,         ,deep blue-green,midnight forest,blue green,blue green,258.95,311.93
34,10,60,341060,violeta oscuro,dark purple,  _ ______-  _ ___ __,dark blue,schwarzviolett,black purple,noir,black,        _,navy blue,blu di prussia,prussian blue,    _  _    ,violet,   ,navy blue,dark royal blue,blue,dark purple,310.67,251
34,2,123,342123,azul marino,navy blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,           _,deep purple blue,mare,purple,    _ ,blue,   ,blue,super dark blue,blue,blue,290.79,197.53
34,59,72,345972,verde oscuro,dark green,_ _ _ _ __  __,green,dunkelblau,dark blue,id7 foncer tir sur gris,darker blue gray shooting,    _         _,prussian blue,blu scuro,dark blue,      ,navy, __   ,ultramarine,crazy dark blue,blue green,blue green,289.23,256.31
35,45,17,354517,color verde musgo,green moss,_ _ _ _ __  __,green,schwarz,black,vert kentucky,green kentucky,     _,black,verde scuro,black,     _   ,dark green,   ,black,dark hunter green,black olive,black olive,310.74,282.69
35,99,31,359931,verde oscuro,dark green,  _ _______ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert presque bouteille,almost bottle green,        _,dark green,verde scuro,dark green,         ,green,   ,green,dark tree green,green,dark green,308.26,327.49
36,0,172,360172,azul rey,royal blue,  _ ___ __,blue,dunkel blau,dark blue,id7,blue,     _,purple,blu,blue,    _    ,blue,     _,blue,electric dark blue,blue,medium navy,275.21,170.89
36,122,7,361227,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,        _,green,dark leaf green,green,forest green,314.28,355.11
36,234,5,362345,verde fresco,fresh green,_ _ _ _ __  __,green,leuchtend gr _n,bright green,vert,green,        _,green,rosa,green,  _   ,green,      ,yellow-green,leprachon green,lime,bright green,247.84,478.01
37,19,39,371939,negro,black,_     __  __,black,blauschwarz,blue-black,noir,black,     _,black,violet scuro,black,       _   _   _   ,dark purple,   ,black,dark royal purple,onyx,dark brown,323.88,285.85
37,198,4,371984,verde,green,_ _ _ _ __  __,green,leuchtgr _n,fluorescent green,vert,green,        _,army green,verde,green,  _   ,green,   ,green,pure pea green,lime,iguana green,263.15,432.6
3,74,236,374236,azul,blue,    _ __-  _ ___ __,bright blue,blau,blue,id7,blue,     _,blue,celo,blue,    _    ,blue,   ,blue,rain drop blue,blue,dark sky blue,173.34,149.39
38,204,8,382048,verde claro,light green,_ _ _   __  __,green,gr _n,green,vert lime,lime green,     _,green,verde,green,  _   ,green,   ,green,hot for you green,green,bright green,259.79,421.2
39,4,226,394226,azul fosforescente,blue phosphorescent,    _ _ __   _ ______-  _ ___ __,bright deep blue,dunkelblau,dark blue,id7 fonc  ,dark blue,     _,blue,blu,blue,    _ ,blue,     _        _,normal blue,international blue,blue,electric blue,249.48,123.98
3,96,186,396186,azul mar,blue sea,  _ ___ __,blue,blau,blue,id7,blue,      ,sapphire,sereno,blue,    _    ,blue,        _,blue sky color,cornflower blue,blue,ocean blue,187.82,199.84
3,97,102,397102,azul petroleo,blue oil,  _ ___ -_ _ _ _ __  __,blue-green,t _rkis,turquoise,id7 turquoise,turquoise,     _,blue,verde scuro,dark green,  _   ,green,      ,dark green,dark turquoise,teal,dark teal,230.63,283.89
39,73,52,397352,verde pardo,pardo green,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert fonc  ,dark green:,        _,dark green,h,green,     _   ,dark green,      ,dark green,forest ranger green,green,dark green,275.81,304.96
40,21,60,402160,negro,black,  _ ______-  _ ___ _   ____  __,plum,dunkelblau,dark blue,violet fonc  ,dark purple,     _,purple,nero oscuro,navy blue,       _   _,deep purple,   ,purple,midnight purple,grape,darkest blue,331.09,255.92
40,3,106,403106,azul francia,france blue,  _ ______-  _ ___ _   ____  __,plum,dunkles blau,dark blue,id7,blue,     _,blue,viola,blue,    __   ,ultramarine,     _        _,dark purple,midnight purple,blue,cerulean blue,317.49,221.45
40,81,78,408178,verde,green,  _ _____    ____    _ _    _____ ___ ,dark aqua,dukel gr _n,dukel green,vert-cyan,green-cyan,     _,green,verde foresta,green forest,        _   ,dark green,        _   ,blue gray,murky aqua green,dark green,grey-green,260.31,290.48
41,15,90,411590,morado intenso,deep purple,_ ___ _ ____,indigo,indigo,indigo,id7,blue,     _,blue,blu ardesia scuro,purple,         ,blue,   ,purple,night sky blue,purple,dark blue,321.86,238.28
41,21,47,412147,negro,black,  _   ____-_ __  _ ____  __,black and burgundy,schwarz blau,black blue,grenat fonc  ,dark garnet,   ,black,viola,purple, _    ,black, _       ,dark purple,midnigh purple,onyx,black,315.04,269.55
41,4,122,414122,azul,blue,  _ ___ __,blue,dunkelblau,dark blue,id7,blue,     _,blue,blu scuro,dark blue, _   _   ,purple,        _,deep-sea color,very royal blue,blue,dark purple,296.15,202.05
41,57,82,415782,azul marino,navy blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,         ,darkslategray,blu scuro,dark blue,          _    ,dark blue,      ,blue,dark navy blue,dark blue,dark blue,286.17,243.87
41,8,245,418245,azul electrico,electric blue,    _ __-  _ ___ __,bright blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,   ,blue,blue concentrate,blue,cobalt blue,194.6,93.66
42,26,62,422662,negro,black,  _ ______-  _ ___ __,dark blue,marineblau,navy blue,id7 nuit,midnight blue,        _,deep purple,violet,violet,       _   _   ,deep purple,        _,deep-sea color,purplish black,purple,blue black,311.09,237.49
4,238,63,423863,verde,green,    _ __-  _ _ _   ____  __,bright green,wiesengr _n,meadow green,vert,green,  _      ,lime green,verde,green,         ,green,   ,green,bright spring green,lime,greeny grape,167.5,447.85
4,244,59,424459,verde,green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert claire,light green:,     _,green,verde,green,  _   ,green,        _         ,bright yellow-green,electric green,lime,greeny grape,165.54,461.32
43,49,18,434918,verde fuerte,strong green,_ _ _ _ __  __,green,braunoliv,olive drab,noir,black,        _,army green,verde oliva scuro,green,         ,dark green,         ,dark green,deep forest green,dirty brown,dirty brown,295.03,303.35
43,54,29,435429,verde monte,monte verde,  _   ____=_ _ _ _ __  __,black and green =,dunkel gr _n,dark green,vert fonc  ,dark green:,     _,green,verde scuro,dark green,  _ _      _   ,very jean green,     _           _   ,dark olive,dark dark green,green,green,317.44,303.76
43,64,35,436435,verde,green,_ _ _ _ __  __,green,tief dunkel gr _n,deep dark green,vert tr  s fonc  ,very dark green,        _,dark green,nero,black,     _   ,dark green,     _           _  _,dark green,dark forest green,green,dark green,305.47,316.32
43,88,81,438881,verde oscuro,dark green,_ _ _ _ __  __,green,graublau,gray-blue,sea green,sea       green,           _,gray dense green,feldgrau,green,        _   ,dark green, _            _  _,dark green,light forest green,dark green,dark green,258.16,305.74
44,48,21,444821,verdeolivo obscuro,dark olive green,_ _   __  __,black,mossgr _n,moss green,noir,black,     _,black,verde scuro,dark green, _    ,black, _            _     _,dark olive color,black cat (black),beaver brown,beaver brown,309.39,267.09
44,85,81,448581,verde oscuro,dark green,_ ___ _ ____,indigo,dunkles t _rkies,dark turquoise,vert sapin,pine green,        _,army green,verde scuro,dark green,        __   ,dark green, _            _,dark green,cool mist shadow,green,green,253.89,293.43
45,117,4,451174,verde pasto,green grass,_ _ _   __  __,green,grasgr _n,grass green,vert bouteille,bottle green,      ,dark green,verde,green,  _   ,green,        _  _,green,nice dark green,green,forest green,308.88,338.24
4,52,178,452178,azul francia,blue france,  _ ___ __,blue,dunkelblau,dark blue,id7,blue,      ,deep blue,blu,blue,    _ ,blue,   ,blue,bright dark blue,blue,electric blue,217.25,189.06
46,0,229,460229,azul,blue,  _ ___ __,blue,dunkelblau,dark blue,id7,blue,      ,blue,blu,blue,    _    ,blue,   ,blue,brilliant blue,blue,almost purple,240.92,106.83
46,11,22,461122,negro de humo,carbon black,_     __  __,black,dunkelrot,dark,brun fonce,dark brown,   ,black,nero,black, _       ,black,              _,about brown,dark chocolate brown,plum,plum,331.12,267.99
46,200,6,462006,verde limon,lime green,_ ___   _ __ _ _ _   __  __,light green,leuchtgr _n,fluorescent green,vert,green,      ,green,verde ramarro,green,  _   ,green,        _,green,deep lime green,lime,kermit green,272.7,443.03
46,254,7,462547,verde,green,_ _ _   __  __,green,gr _n,green,vert claire,light green:,  _   ,lime,verde brillante,green,         ,green,   ,green,flourescent green,green,electric green,226.37,518.83
46,66,87,466687,azul oscuro,dark blue,  _ ______-  _ ___ __,dark blue,stahlblau,steel blue,id7,blue,   ,blue,blu scuro,gray, __   ,blue,   ,navy blue,deep slate blue,navy,blue grey,266.68,259.67
46,8,181,468181,azul,blue,    _ __-  _ ___ __,bright blue,blau,blue,id7,blue,    _      _,high color blue,indaco reale,blue,    _    ,blue,        _     _,blue companion,medium royal blue,blue,blue purple,275.14,150.75
47,41,91,474191,azul marino,navy blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 mauve fonc  ,deep purple blue,        _,navy blue,indaco scuro,dark blue, __   ,blue,   ,navy blue,muted midnight,purple,purple,290.64,239.17
47,47,91,474791,de color gris oscuro,dark gray,  _ ___ __,blue,marine,navy,la mer dans ses profondeurs d  signe le prenetrante plus beau et le id7 fonc   ,the sea in its depths prenetrante means the most beautiful and dark blue,   ,purple,indaco scuro,blue, __   ,navy,   ,navy blue,deep blue purple,navy blue,dark blue,293.42,232.76
47,5,249,475249,azul oscuro,dark blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _    ,blue,   ,blue,boysenberry blue,blue,sailboat blue,227.81,87.5
47,61,93,476193,azul,blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,     _,blue,blu,blue,    _    ,blue,      ,blue,midnight blue grey,blue,blue grey,274.81,248.09
4,84,201,484201,azul,blue,  _ ___ __,blue,blau,blue,id7 fonc  ,dark blue,   ,blue,blu,blue,    _    ,blue,   ,blue,deep turquoise,blue,electric blue,175.87,179.03
48,44,21,484421,negro,black,_     __  __,black,schwarz,black,un noir,a black,     _,black,nero,black, _    ,black,           _,deep green,army brown-green,black,beaver brown,317.02,263.34
48,83,93,488393,oscura de color gris pizarra,dark slate gray,  _ ___ -  _     __,blue-gray,blaugrau,blue-gray,id7 ocean,blue ocean,     _,blue,verde chiuso,green closed,        __   ,the dark blue,        _   ,navy blue gray,dark turqouise,dark marine,dark marine,261.89,263.95
49,154,6,491546,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,        _  _,green,tank top green,green,forest green,297.22,392.03
49,21,71,492171,morado fuerte oscuro negro,strong dark purple black,  _ ______-  _ ___ _   ____  __,plum,lila,purple,violet,purple,        _,dark blue,viola scuro,dark purple,    _    ,sky blue,   ,purple,late night wine,deep indigo,deep indigo,309.21,244.28
50,47,14,504714,verde pardo,brown green,__  _ _ ,darkness,braun,brown,marron gris,gray brown,        _,army green,verde,green,       __  _   ,dark blue green,     _,soil color,deep avocado green,olive drab,olive drab,328.8,290.14
5,100,24,510024,color verde oscuro,dark green,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert fonc  ,dark green:,     _,green,verde scuro,dark green,  _   ,green,   ,green,light olive green,green,hunter green,262.68,325.7
5,104,54,510454,verde oscuro,dark green,_   ____  __ ___   _ _____ -_ _ _   __  __,dark-green spring,gr _n,green,vert,green,   ,green,verde,green,  _   ,green,      ,dark green,rhododendron green,green,hunter green,249.65,311.59
51,15,18,511518,marron,brown,_ __  _   ___ __  __,brown,schwarz,black,marron fonc   tir sur pourpre,dark brown purple shooting,    _   _,dark brown,nero,black,      ,brown,     _,brown,turtle chocolate,brown,brown,332.79,277.04
51,179,2,511792,verde,green,_ _ _ _ __  __,green,mittleres rasengr _n,medium green lawn,vert,green,     _,green,verde,green,         ,green,   ,green,european green grass,green,romantic green,279.97,414.33
51,2,170,512170,azul,blue,___       _ ____  __   _ ___ __,deep blue,k  nigsblau,royal blue,id7,blue,     _,purple,blu,blue, __   ,blue,   ,blue,night sky blue,blue,blue-violet,289.28,156.91
51,27,58,512758,morado,purple,_     __  __,black,lila,purple,id7 noir,blue black,     _,black,marrone antracite,dark gray brown,               ,dark burgundy,           _,mulberry color,dark purplish black,deep purple,deep purple,307.64,261
51,33,91,513391,azul,blue,  _ ___ __,blue,k  nigsblau,royal blue,blue soldat,blue soldier,     _,blue,viola scuro,purple,       _   _   _   ,dark purple,         ,dark purple,really dark blue,navy,party purple,301.21,231.7
51,42,28,514228,negro,black,  _   __  __,black,schwarz,black,noir,black,     _,black,marrone scuro,dark brown, _       ,black,        _  _           _,charcoal gray,dark brown black,brown,dark brown,322.56,251.17
5,17,194,517194,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,azzuro,blue,    _    ,blue,   ,blue,dark neon blue,navy,runner's blue,240,152.36
5,197,78,519778,verde esmeralda,emerald green,  _ _ _   ____  __,green,gr _n,green,vert,green,     _,green,ierba,green,  _   ,green,   ,green,dark lime green,green,kelly green,188.89,389.43
51,99,89,519989,verde oliva oscuro,dark olive green,  _   __-_____   _ ____,gray-blue,gr _n,green,vert bouteille,bottle green,      ,dark green,verde scuro,dark green,  _   ,green,   ,green,dark turquoise,slate,teal green,233.14,301.97
52,173,9,521739,verde,green,_ _ _ _ __  __,green,grasgr _n,grass green,vert,green,     _,green,hhh,lime,  _   ,green,     _,green,shamrock green,green,grass green,282.12,407.21
5,244,57,524457,color verde,green,    _ __   _ _ _   ____  __,bright green,gr _n,green,vert,green,     _,green,verde,green,         ,green,   ,green,lightish green,green,bright green,172.28,462
52,59,97,525997,azul fuerte,deep blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 fonc   mat,dark blue mat,        _,dark blue,blu,blue,       _      _ ,dark blue,   ,blue,dark slate blue,blue,dark blue,281.44,231.91
52,92,16,529216,verde soldado,green soldier,_ _ _ _ __  __,green,dunkel gr _n,dark green,vert bouteille,bottle green,     _,green,verde,green,          _       ,dark olive-,   ,green,olive not drab,green,water green,288.01,319.85
53,0,126,530126,violeta azul,violet blue,___ ___ _   ____  __,violet,dunkelblau,dark blue,id7 encre,blue ink,        _,blue-violet,blu,blue,       _   _   ,deep purple, _          ,dark purple,bright navy blue,purple,midnight blue,312.43,199.71
53,42,86,534286,morado negro,black purple,    ______-  _ ___ _   ____  __,plum,violet,violet,blue libert  ,blue freedom,      ,deep blue,id7 notte,blue night,             ,navy,        _   ,navy blue gray,dark blue grey,blue,midnight blue,301.17,243.55
5,38,123,538123,color azul oscuro,dark blue,  _ ___ __,blue,navyblau,navyblue,id7 marine,navy blue,        _,navy blue,viola,blue, __   ,blue,     _,blue,dark blue water,blue,dark blue,257.17,228.77
54,211,3,542113,verde limon,lime green,_ _ _ _ __  __,green,gr _n,green,vert,green,        _,grass green,verde,green,  _   ,green,        _  _,green,freshly mowed lawn,lime,bright green,265.89,447.79
56,10,45,561045,negro,black,  _ ___ _   ____  __   _ ______,dark purple,lila,purple,prune,plum,     _,purple,nero,black,        _   _   ,deep purple,         ,dark purple,very dark purple,maroon,grape purple,325.43,278.63
5,62,168,562168,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,        _,navy blue,blu,blue,      ,blue,   ,blue,deep ocean blue,blue,royal blue,218.86,206.16
57,183,0,571830,verde pasto,green grass,  _ _ _   ____  __,green,apfelgr _n,apple green,vert,green,   ,green,verde,green,  _   ,green,   ,green,northern green,lime,bright green,285.8,412.89
5,74,246,574246,azul,blue,_ _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu cielo,blue sky,    _    ,blue,   ,blue,light royal blue,blue,facebook blue,176.15,143.74
57,60,22,576022,verde militar,military green,_     __  __,black,gr _n,green,vert kaky,green kaky,        _,army green,verde,green,           _   ,dark green sulfur,      ,brown black,camouflage green,dirty brown,dirty brown,324.19,295.27
58,181,3,581813,verde,green,__      _    _ _ _ _ __  ,thick green,apfelgr _n,apple green,vert,green,     _,green,verde,green,         ,green,   ,green,pool table green,turf,bright green,288.77,406.14
58,69,10,586910,verde,green,  _ ______-_ _ _ _ __  __,dark green,gr _nbraun,green-brown,vert,green,        _,dark green,verde olivo,olive green,  _   ,green,      ,dark green,dark olive green,coffee,coffee,318.61,297.83
59,11,48,591148,violeta,violet,    ______-_ __  _ ____  __,maroon,violett,violet,noir,black,     _,black,violet,violet, _   _   ,purple,         ,tehiru,dark royal purple,deep purple,grape purple,323.05,266.29
60,17,21,601721,violeta casi negro,almost black purple,  _   __  __,sable,braun,brown,id8 tr  s fonc  ,very dark red,        _,dark brown,marrone,brown,      ,brown,           _,come brown,dark chocolate,brown,deep burgundy,346.91,273.39
60,26,81,602681,morado oscuro,purple,  _ ___ _   ____  __,violet,nachtviolett,purple night,violet aubergine,purple eggplant, _      _,dark purple,viola scuro,purple, _   _   ,purple,         ,dark purple,bridesmaid purple,purple,royal purple,307.89,231.56
60,5,108,605108,morado,purple,    ______-  _ ___ _   ____  __,plum,dunkellila,dark purple,violet,violet,     _,purple,viola,blue, _   _   ,purple,  _                 _,cobalt blue,dark blue purple,navy,lake purple,341.46,235.6
6,10,147,610147,azul marino,navy blue,  _ ______   _ ___ __,dark blue,blau,blue,id7,blue,   ,blue,blu,blue,    _    ,blue,   ,blue,dark purple blue,blue,flashy blue,260.72,201.83
61,107,2,611072,verde soldado,green soldier,_ _ _ _ __  __,green,olivgr _n,olive,vert,green, _      _,dark green,verde,green, _  _              ,grayish green,   ,green,dark mossy green,green,grass green,318.31,335.75
61,12,60,611260,maron oscuro,maron dark,  _ ______   _ ___ _   ____  __,dark purple,violett,violet,mauve,mauve,        _,purple,viola scuro,dark purple, _       ,black,   ,purple,ghostly burnt purple,dk. purple,dark purple,322.54,258.64
6,120,67,612067,verde oscruo,green oscruo,  _ ______-_ _ _ _ __  __,dark green,mittelgr _n,medium green,vert,green,     _,green,verde,green,         ,green,      ,dark green,broccolli green,green,hunter green,230.3,316.04
61,251,7,612517,verde,green,_ _   _ __  ____-  _ _ _   ____  __,the acid-green,leuchtend hell gr _n,bright green light,vert absinthe,absinthe green,     _,green,verde,green,         _   ,bright green,        _,green,neon lime green,lime,bright green,301.15,531.75
6,130,11,613011,verde limonsillo,green limonsillo,_ _ _   __  __,green,sattes gr _n,lush green,vert,green,        _,army green,verde,grass green,  _   ,green,   ,green,john deere green,green,hunter green,266.98,360.18
6,145,65,614565,verde,green,  __  ______  __,pine,gr _n,green,vert,green,      ,green-gray,verde,green,         _   ,dark green,           _           _  _,forest green,limelight green,green,medium green,240.13,344.35
61,45,90,614590,morado oscuro,purple,  _ ___ _   ____  __,violet,dunkellila,dark purple,id7,blue,        _,deep purple,kjg,deep purple, _   _   ,purple,     _,deep blue,darkest purple,purple,midnight blue,346.84,250.81
61,50,24,615024,marron,brown,  _   __  __,sable,dunkel brau,dark brown,marron foncer presque noir,darker brown almost black,     _,brown,marrone,brown,       _          ,dark brown,     _,brown,dark chocolate,middle brown,middle brown,341.35,287.53
6,151,41,615141,verde,green,_ _ _ _ __  __,green,mittelgr _n,medium green,vert,green,   ,green,verde fondo bottiglia,green,           _    ,department of green,   ,green,med dark green,green,emerald green,235.61,348.76
6,165,67,616567,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,     _   ,dark green,   ,green,watermelon green,green,green grass,218.16,369.2
6,229,20,622920,color verde claro,light green,  ___   _ __-_ _ _ _ __  __,light green,rasengr _n,green grass,vert,green,      ,light green,verde brillante,bright green,  _             ,neon green,   ,green,80's neon green,lime,spiffy green,214.58,461.12
6,24,229,624229,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,j,blue,    _ ,blue,   ,blue,bright sep blue,blue,nautical blue,212.16,131.96
62,5,147,625147,morado,purple,  _ ___ _   ____  __,violet,blau,blue,id7,blue,     _,blue,blu,blue, _   _ _       _       ,violet blue-colored,         ,dark blue,deep purple haze,blue,dark purple,301.31,179.45
62,6,148,626148,azul,blue,  _ ______-  _ ___ __,dark blue,lila,purple,ultra-violets,ultraviolet,        _,navy blue,viola,violet,    _    ,blue,      ,blue-violet,rich royal purple,blue,dark purple,298.09,173.95
63,34,75,633475,violeta,violet,  _ ______-  _ ___ _   ____  __,plum,violett,violet,violet fonc  ,dark purple,     _,purple,violet,violet, _   _   ,purple,   ,purple,dark purple grey,purple,royal purple,316.12,241.28
