_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802937052,false,finalized,8,10/7/15 18:31,,,isn't he cute,0.5042,chill,0.4933,9/25/15 13:39,,796448777,9/29/15 2:34,,,,,,,launch,isn't he cute,relieve,chill
802937053,false,finalized,8,10/7/15 17:30,,,church,0.7576,achy,0.7488,9/25/15 13:39,,796448778,9/29/15 2:34,,,,,,,church,achy,drinking green tea,nail just broke
802937054,false,finalized,8,10/8/15 3:23,,,crazy in love,0.876,miss,0.7488,9/25/15 13:39,,796448779,9/29/15 2:34,,,,,,,miss,crazy in love,need any assistance,supposed
802937055,false,finalized,8,10/8/15 5:03,,,#love #at_1st_sight,0.8721,my fucking existence,1,9/25/15 13:39,,796448780,9/29/15 2:34,,,,,,,#love #at_1st_sight,new issue,love never fails,my fucking existence
802937056,false,finalized,8,10/7/15 12:00,,,just too cute,0.8772,rain,1,9/25/15 13:39,,796448781,9/29/15 2:34,,,,,,,paths will cross,rain,just too cute,cool
802937057,false,finalized,8,10/8/15 15:06,,,solved the problem,1,epic fail,0.8762,9/25/15 13:39,,796448782,9/29/15 2:34,,,,,,,epic fail,solved the problem,late evening,leaving
802937058,false,finalized,8,10/8/15 3:16,,,deep respect,0.5127,feel like crap,1,9/25/15 13:39,,796448783,9/29/15 2:34,,,,,,,deep respect,hey little angel,warm,feel like crap
802937059,false,finalized,8,10/8/15 13:24,,,kind,0.7576,gunfire,0.872,9/25/15 13:39,,796448784,9/29/15 2:34,,,,,,,celebratory gunfire,kind,gunfire,hot black coffee
802937060,false,finalized,8,10/7/15 17:24,,,art,0.7477,stress,1,9/25/15 13:39,,796448785,9/29/15 2:34,,,,,,,no other reason,art,stress,cool me down
802937061,false,finalized,8,10/7/15 10:07,,,boost,0.8799,tears,0.7432,9/25/15 13:39,,796448786,9/29/15 2:34,,,,,,,boost,what's wrong baby,passers,tears
802937062,false,finalized,8,10/8/15 3:17,,,paths,0.6318,beast,0.7661,9/25/15 13:39,,796448787,9/29/15 2:34,,,,,,,wild child,paths,spare tire,beast
802937063,false,finalized,8,10/7/15 19:12,,,faith,0.7451,shot,1,9/25/15 13:39,,796448788,9/29/15 2:34,,,,,,,deal,shot,right,faith
802937064,false,finalized,8,10/8/15 6:36,,,young,0.8772,fake money,1,9/25/15 13:39,,796448789,9/29/15 2:34,,,,,,,young,fake money,pop,let's
802937065,false,finalized,8,10/8/15 14:12,,,epic,0.517,nasty,0.8907,9/25/15 13:39,,796448790,9/29/15 2:34,,,,,,,stupid wisdom,genius,epic,nasty
802937066,false,finalized,8,10/7/15 17:25,,,freaking love that,1,suckage,1,9/25/15 13:39,,796448791,9/29/15 2:34,,,,,,,need volunteers,freaking love that,suckage,happy mistakes
802937067,false,finalized,8,10/8/15 3:25,,,funniest,0.8647,my sick friend,0.8659,9/25/15 13:39,,796448792,9/29/15 2:34,,,,,,,funniest,with flying coloures,my sick friend,want to steal
802937068,false,finalized,8,10/8/15 14:38,,,fantastic,1,sad news indeed,1,9/25/15 13:39,,796448793,9/29/15 2:34,,,,,,,spirit,sad news indeed,fantastic,lone
802937069,false,finalized,8,10/8/15 11:17,,,happy fathers day,1,problems,1,9/25/15 13:39,,796448794,9/29/15 2:34,,,,,,,problems,bored,need her back,happy fathers day
802937070,false,finalized,8,10/7/15 4:50,,,so freaking excited,0.8721,sensitive teeth,1,9/25/15 13:39,,796448795,9/29/15 2:34,,,,,,,moment,sensitive teeth,so freaking excited,fighting spirit
802937071,false,finalized,8,10/7/15 17:51,,,no thanks needed,0.5143,right eye hurts,0.8778,9/25/15 13:39,,796448796,9/29/15 2:34,,,,,,,baby teeth,no thanks needed,right eye hurts,back to school
802937072,false,finalized,8,10/7/15 23:24,,,leave a #smile,1,no money left,0.8894,9/25/15 13:39,,796448797,9/29/15 2:34,,,,,,,no money left,smell,bad for laughing,leave a #smile
802937073,false,finalized,8,10/7/15 18:17,,,less,0.7619,friend died,1,9/25/15 13:39,,796448798,9/29/15 2:34,,,,,,,down,friend died,less,open wound
802937074,false,finalized,8,10/8/15 13:39,,,cutie,1,anger,1,9/25/15 13:39,,796448799,9/29/15 2:34,,,,,,,ice,cutie,count,anger
802937075,false,finalized,8,10/7/15 21:39,,,dance competition,0.873,missing church today,0.8832,9/25/15 13:39,,796448800,9/29/15 2:34,,,,,,,attachment,dance competition,lamb,missing church today
802937076,false,finalized,8,10/7/15 22:46,,,giving,0.7744,waited all year,1,9/25/15 13:39,,796448801,9/29/15 2:34,,,,,,,dark and handsome,giving,donation,waited all year
802937077,false,finalized,8,10/8/15 3:25,,,sun,0.7722,arrived broken,0.7647,9/25/15 13:39,,796448802,9/29/15 2:34,,,,,,,arrived broken,self,sun,wrong love
802937078,false,finalized,8,10/8/15 0:14,,,friendship,1,honestly sucks,0.8696,9/25/15 13:39,,796448803,9/29/15 2:34,,,,,,,friendship,can't even swallow,worth a try,honestly sucks
802937079,false,finalized,8,10/8/15 13:24,,,author,1,poisoning,0.743,9/25/15 13:39,,796448804,9/29/15 2:34,,,,,,,might be paranoid,poisoning,author,that will suck
802937080,false,finalized,8,10/8/15 4:05,,,wicked excited,1,late breakfast,0.3822,9/25/15 13:39,,796448805,9/29/15 2:34,,,,,,,asleep,late breakfast,patient,wicked excited
802937081,false,finalized,8,10/7/15 19:01,,,hope,0.7459,back strains,1,9/25/15 13:39,,796448806,9/29/15 2:34,,,,,,,back strains,hope,you're too kind,a baby boy
802937082,false,finalized,8,10/7/15 21:37,,,wise words,1,posioning,1,9/25/15 13:39,,796448807,9/29/15 2:34,,,,,,,wise words,still no word,posioning,stinking hot
802937083,false,finalized,8,10/7/15 17:56,,,hows your break,0.8768,hate money,1,9/25/15 13:39,,796448808,9/29/15 2:34,,,,,,,hows your break,hate money,due to work,just a bug
802937084,false,finalized,8,10/7/15 20:24,,,pay less,0.7441,greatest fear,0.6143,9/25/15 13:39,,796448809,9/29/15 2:34,,,,,,,funky,pay less,hard labor,greatest fear
802937085,false,finalized,8,10/7/15 20:28,,,ridiculously happy,1,bodies,0.7506,9/25/15 13:39,,796448810,9/29/15 2:34,,,,,,,pretty darn good,paint,bodies,ridiculously happy
802937086,false,finalized,8,10/7/15 17:54,,,beauty,0.7465,hate dreams,0.8879,9/25/15 13:39,,796448811,9/29/15 2:34,,,,,,,beauty,truly broke,great subject,hate dreams
802937087,false,finalized,8,10/7/15 17:56,,,top,0.4929,lack of work,1,9/25/15 13:39,,796448812,9/29/15 2:34,,,,,,,lack of work,helper,sexy beast,top
802937088,false,finalized,8,10/7/15 10:10,,,#smile,0.8692,crazy,0.8799,9/25/15 13:39,,796448813,9/29/15 2:34,,,,,,,#smile,present,no live tweeting,crazy
802937089,false,finalized,8,10/7/15 11:46,,,happy tears,0.749,feel like death,1,9/25/15 13:39,,796448814,9/29/15 2:34,,,,,,,feel like death,happy tears,worth,best
802937090,false,finalized,8,10/8/15 0:10,,,leave feedback,0.7588,sucks to live,1,9/25/15 13:39,,796448815,9/29/15 2:34,,,,,,,sucks to live,well that sucks,leave feedback,pleease help
802937091,false,finalized,8,10/7/15 22:24,,,fits well,0.8607,low level,1,9/25/15 13:39,,796448816,9/29/15 2:34,,,,,,,fits well,liquor store,notice me sweetheart,low level
802937092,false,finalized,8,10/7/15 17:26,,,die laughing,0.7477,losses,0.8725,9/25/15 13:39,,796448817,9/29/15 2:34,,,,,,,losses,dance,score,die laughing
802937093,false,finalized,8,10/7/15 19:08,,,a little cutie,1,ugh work,0.499,9/25/15 13:39,,796448818,9/29/15 2:34,,,,,,,ugh work,absolutely no sense,planning on leaving,a little cutie
802937094,false,finalized,8,10/8/15 13:29,,,recover,0.4906,hate public transport,1,9/25/15 13:39,,796448819,9/29/15 2:34,,,,,,,long journey,restrooms,recover,hate public transport
802937095,false,finalized,8,10/8/15 0:11,,,cheap and good,1,urgent care,0.8728,9/25/15 13:39,,796448820,9/29/15 2:34,,,,,,,teasing,urgent care,cheap and good,squeaky
802937096,false,finalized,8,10/7/15 5:59,,,ahead,0.7504,grim,1,9/25/15 13:39,,796448821,9/29/15 2:34,,,,,,,ahead,game console,grim,spot
802937097,false,finalized,8,10/7/15 20:11,,,christmas,1,hard,0.5021,9/25/15 13:39,,796448822,9/29/15 2:34,,,,,,,hard,break,christmas,latest shoot
802937098,false,finalized,8,10/7/15 22:29,,,blessed you exist,1,super pissed,0.8846,9/25/15 13:39,,796448823,9/29/15 2:34,,,,,,,hope i'm wrong,blessed you exist,super pissed,fudge
802937099,false,finalized,8,10/8/15 10:31,,,fav,0.8843,wrecked beyond repair,0.7819,9/25/15 13:39,,796448824,9/29/15 2:34,,,,,,,wrecked beyond repair,fav,isn't doing well,want it badly
802937100,false,finalized,8,10/8/15 13:29,,,happy accident,1,crying,0.8628,9/25/15 13:39,,796448825,9/29/15 2:34,,,,,,,crying,happy accident,so,rest my case
802937101,false,finalized,8,10/7/15 18:29,,,best shit,0.8879,completely unusable,1,9/25/15 13:39,,796448826,9/29/15 2:34,,,,,,,best shit,come,completely unusable,incredibly slow
802937102,false,finalized,8,10/7/15 19:39,,,winning streak,1,one hit wonder,0.498,9/25/15 13:39,,796448827,9/29/15 2:34,,,,,,,one hit wonder,winning streak,need a buddy,study
802937103,false,finalized,8,10/7/15 20:35,,,darn right,0.6253,just pissed me,0.8751,9/25/15 13:39,,796448828,9/29/15 2:34,,,,,,,best revenge,just pissed me,darn right,bar is open
802937104,false,finalized,8,10/7/15 12:33,,,whiten,0.3796,job losses,1,9/25/15 13:39,,796448829,9/29/15 2:34,,,,,,,whiten,agree to disagree,job losses,jump
802937105,false,finalized,8,10/7/15 17:37,,,coffee break,0.6156,madness,0.881,9/25/15 13:39,,796448830,9/29/15 2:34,,,,,,,hunger,madness,pleease,coffee break
802937106,false,finalized,8,10/8/15 13:04,,,excited,1,cold,0.7555,9/25/15 13:39,,796448831,9/29/15 2:34,,,,,,,latest,all nite long,excited,cold
802937107,false,finalized,8,10/8/15 0:06,,,worked,0.7515,shame,1,9/25/15 13:39,,796448832,9/29/15 2:34,,,,,,,tax,admit,shame,worked
802937108,false,finalized,8,10/7/15 20:08,,,laughing out loud,0.875,hate working weekends,1,9/25/15 13:39,,796448833,9/29/15 2:34,,,,,,,completely,laughing out loud,tiny,hate working weekends
802937109,false,finalized,8,10/7/15 5:37,,,a long nap,0.6471,please leave comments,0.3816,9/25/15 13:39,,796448834,9/29/15 2:34,,,,,,,a long nap,major,please leave comments,collecting
802937110,false,finalized,8,10/7/15 21:41,,,luv,1,worst luck,0.8767,9/25/15 13:39,,796448835,9/29/15 2:34,,,,,,,worst luck,fear,luv,wait
802937111,false,finalized,8,10/7/15 15:09,,,awareness,0.5042,doesn't work anymore,1,9/25/15 13:39,,796448836,9/29/15 2:34,,,,,,,cold afternoon,doesn't work anymore,awareness,mad props
802937112,false,finalized,8,10/8/15 4:27,,,happy,0.5207,dying,1,9/25/15 13:39,,796448837,9/29/15 2:34,,,,,,,lucky,perfectly,dying,happy
802937113,false,finalized,8,10/7/15 3:10,,,damn i'm good,0.8798,super duper sad,1,9/25/15 13:39,,796448838,9/29/15 2:34,,,,,,,damn i'm good,will mean alot,super duper sad,post
802937114,false,finalized,8,10/7/15 15:31,,,buddy,0.5042,blues,0.6226,9/25/15 13:39,,796448839,9/29/15 2:34,,,,,,,relief,blues,buddy,bedbugs bite
802937115,false,finalized,8,10/7/15 21:33,,,freaking amazing,0.6254,cheat code,0.6205,9/25/15 13:39,,796448840,9/29/15 2:34,,,,,,,freaking amazing,cheat code,no greater feeling,trying to balance
802937116,false,finalized,8,10/7/15 7:19,,,respect,0.6306,stop,1,9/25/15 13:39,,796448841,9/29/15 2:34,,,,,,, true,slow song,stop,respect
802937117,false,finalized,8,10/8/15 3:17,,,bloody hilarious,1,cancer patient,0.8778,9/25/15 13:39,,796448842,9/29/15 2:34,,,,,,,tired,omen,cancer patient,bloody hilarious
802937118,false,finalized,8,10/8/15 4:51,,,breaking free,0.7451,capture,1,9/25/15 13:39,,796448843,9/29/15 2:34,,,,,,,breaking free,capture,plane,committed
802937119,false,finalized,8,10/8/15 3:21,,,well,0.5159,just broke up,1,9/25/15 13:39,,796448844,9/29/15 2:34,,,,,,,sounding good,well,pillow fight,just broke up
802937120,false,finalized,8,10/7/15 18:31,,,peaceful,1,dog found abandoned,0.8747,9/25/15 13:39,,796448845,9/29/15 2:34,,,,,,,refuses,dog found abandoned,peaceful,extremely
802937121,false,finalized,8,10/7/15 11:35,,,powerful,0.8699,augmented,0.6195,9/25/15 13:39,,796448846,9/29/15 2:34,,,,,,,augmented,powerful,lets,words
802937122,false,finalized,8,10/7/15 5:41,,,ill help you,1,rubbish,0.612,9/25/15 13:39,,796448847,9/29/15 2:34,,,,,,,break ups,rubbish,peaceful protest,ill help you
802937123,false,finalized,8,10/8/15 14:38,,,today,0.8783,new crisis,0.7508,9/25/15 13:39,,796448848,9/29/15 2:34,,,,,,,slowly giving up,new crisis,look,today
802937124,false,finalized,8,10/7/15 20:51,,,tax refund,0.8685,disappointing,1,9/25/15 13:39,,796448849,9/29/15 2:34,,,,,,,tax refund,disappointing,hate to admit,again
802937125,false,finalized,8,10/8/15 12:57,,,make,0.8762,#cruelty,1,9/25/15 13:39,,796448850,9/29/15 2:34,,,,,,,well im sorry,#cruelty,mess,make
802937126,false,finalized,8,10/7/15 18:51,,,peek,0.8763,planning against us,0.6241,9/25/15 13:39,,796448851,9/29/15 2:34,,,,,,,blood work,planning against us,peek,back hurts
802937127,false,finalized,8,10/7/15 18:26,,,wicked good,0.8779,happy birthday loser,1,9/25/15 13:39,,796448852,9/29/15 2:34,,,,,,,bar,happy birthday loser,stud,wicked good
802937128,false,finalized,8,10/7/15 18:29,,,existence,0.7465,mistakes,1,9/25/15 13:39,,796448853,9/29/15 2:34,,,,,,,mistakes,existence,pushed,need a hug
802937129,false,finalized,8,10/7/15 13:46,,,try,0.505,wicked,0.6316,9/25/15 13:39,,796448854,9/29/15 2:34,,,,,,,wicked,beer is gross,try,ego
802937130,false,finalized,8,10/7/15 22:53,,,shape,1,horrible,0.7659,9/25/15 13:39,,796448855,9/29/15 2:34,,,,,,,horrible,braces,ignoring my existence,shape
802937131,false,finalized,8,10/8/15 4:39,,,chase,0.6162,major pain,0.8999,9/25/15 13:39,,796448856,9/29/15 2:34,,,,,,,black,major pain,smells like paint,chase
802937132,false,finalized,8,10/7/15 21:27,,,happiness overload,0.8762,this isnt fair,1,9/25/15 13:39,,796448857,9/29/15 2:34,,,,,,,nice and cold,this isnt fair,hearing,happiness overload
802937133,false,finalized,8,10/7/15 20:20,,,rear,0.4922,horror,1,9/25/15 13:39,,796448858,9/29/15 2:34,,,,,,,horror,rear,lost art,throw rocks
802937134,false,finalized,8,10/7/15 18:56,,,a little kid,1,absolute garbage,0.6311,9/25/15 13:39,,796448859,9/29/15 2:34,,,,,,,homeless heart,absolute garbage,a little kid,bills
802937437,false,finalized,8,10/7/15 19:03,,,grow,1,posers,1,9/25/15 13:39,,796448860,9/29/15 2:34,,,,,,,grow,leg,realise,posers
802937438,false,finalized,8,10/7/15 7:19,,,lazy afternoon,0.8758,hurts like hell,1,9/25/15 13:39,,796448861,9/29/15 2:34,,,,,,,lazy afternoon,feel like garbage,hurts like hell,plain
802937439,false,finalized,8,10/7/15 23:59,,,ready to serve,1,doesn't look good,0.872,9/25/15 13:39,,796448862,9/29/15 2:34,,,,,,,ready to serve,gone,doesn't look good,strange
802937440,false,finalized,8,10/7/15 7:42,,,heartfelt,0.6213,split,0.8749,9/25/15 13:39,,796448863,9/29/15 2:34,,,,,,,rub,heartfelt,split,perfect
802937441,false,finalized,8,10/7/15 21:41,,,happier,0.7444,coulda been rich,0.8832,9/25/15 13:39,,796448864,9/29/15 2:34,,,,,,,coulda been rich,seriously interested,customer,happier
802937442,false,finalized,8,10/8/15 3:21,,,chocolate fudge cake,0.8807,accidentally,0.6126,9/25/15 13:39,,796448865,9/29/15 2:34,,,,,,,busy year,chocolate fudge cake,accidentally,unknown
802937443,false,finalized,8,10/7/15 13:36,,,a little brighter,0.6278,grunt,0.7575,9/25/15 13:39,,796448866,9/29/15 2:34,,,,,,,grunt,sorry love,a little brighter,relieve your stress
802937444,false,finalized,8,10/7/15 12:23,,,fav fight,1,no longer friends,0.6186,9/25/15 13:39,,796448867,9/29/15 2:34,,,,,,,no longer friends,broke my promise,isn't helping either,fav fight
802937445,false,finalized,8,10/8/15 15:06,,,festive,0.8904,money stolen,0.5021,9/25/15 13:39,,796448868,9/29/15 2:34,,,,,,,like hell,never too hot,festive,money stolen
802937446,false,finalized,8,10/7/15 3:12,,,great mind,0.8737,fails,1,9/25/15 13:39,,796448869,9/29/15 2:34,,,,,,,hot,great mind,fails,super dark
802937447,false,finalized,8,10/8/15 12:58,,,child,0.6383,overboard,0.7372,9/25/15 13:39,,796448870,9/29/15 2:34,,,,,,,overboard,foundation,#finallyinthehotel,child
802937448,false,finalized,8,10/8/15 13:35,,,eye,0.7463,pretty ill,0.6424,9/25/15 13:39,,796448871,9/29/15 2:34,,,,,,,eye,duper,bummed,pretty ill
802937449,false,finalized,8,10/7/15 21:41,,,long time friends,0.87,low,1,9/25/15 13:39,,796448872,9/29/15 2:34,,,,,,,long time friends,hanging with friends,low,feeling
802937450,false,finalized,8,10/7/15 18:46,,,smart,1,nobody loves me,1,9/25/15 13:39,,796448873,9/29/15 2:34,,,,,,,coughing,smart,nobody loves me,sorry you're bored
802937451,false,finalized,8,10/8/15 14:15,,,sheer joy,1,true and sad,0.7432,9/25/15 13:39,,796448874,9/29/15 2:34,,,,,,,breaky,true and sad,im stuck working,sheer joy
802937452,false,finalized,8,10/7/15 13:33,,,nice,1,hell,1,9/25/15 13:39,,796448875,9/29/15 2:34,,,,,,,hell,cheap beer,hard cider,nice
802937453,false,finalized,8,10/8/15 14:15,,,survivor,0.7379,right eye hurts,0.8895,9/25/15 13:39,,796448876,9/29/15 2:34,,,,,,,a little extra,right eye hurts,survivor,throw
802937454,false,finalized,8,10/8/15 14:04,,,fucking love it,0.8749,wear,0.5107,9/25/15 13:39,,796448877,9/29/15 2:34,,,,,,,wear,fucking love it,chocolate overload,drinking green tea
802937455,false,finalized,8,10/7/15 17:48,,,fit,0.8756,poor little baby,0.7494,9/25/15 13:39,,796448878,9/29/15 2:34,,,,,,,hanging,horror fans,fit,poor little baby
802937456,false,finalized,8,10/7/15 17:31,,,well,0.8805,worry,0.8782,9/25/15 13:39,,796448879,9/29/15 2:34,,,,,,,well,worry,streak,lost art
802937457,false,finalized,8,10/8/15 4:38,,,full,0.6462,food poisoning,0.646,9/25/15 13:39,,796448880,9/29/15 2:34,,,,,,,food poisoning,full,in bad shape,want
802937458,false,finalized,8,10/7/15 17:48,,,genius,1,rising nuclear danger,1,9/25/15 13:39,,796448881,9/29/15 2:34,,,,,,,genius,need any assistance,ego,rising nuclear danger
802937459,false,finalized,8,10/8/15 3:20,,,pretty darn good,0.7354,hopeless,1,9/25/15 13:39,,796448882,9/29/15 2:34,,,,,,,lone,hopeless,pretty darn good,top gun
802937460,false,finalized,8,10/7/15 8:25,,,#smile,1,my poor puppy,1,9/25/15 13:39,,796448883,9/29/15 2:34,,,,,,,my poor puppy,reason,ready,#smile
802937461,false,finalized,8,10/7/15 11:35,,,super chill,0.8888,worth dying,0.6374,9/25/15 13:39,,796448884,9/29/15 2:34,,,,,,,worth dying,weapons,super chill,stud
802937462,false,finalized,8,10/8/15 3:20,,,world,0.6446,constant pain,1,9/25/15 13:39,,796448885,9/29/15 2:34,,,,,,,world,constant pain,mind,rules
802937463,false,finalized,8,10/8/15 3:25,,,small positive thought,1,lost a child,0.8762,9/25/15 13:39,,796448886,9/29/15 2:34,,,,,,,lost a child,broke my promise,small positive thought,paths will cross
802937464,false,finalized,8,10/7/15 13:46,,,strange,0.7513,loss,1,9/25/15 13:39,,796448887,9/29/15 2:34,,,,,,,strange,forget to smile,loss,blood work
802937465,false,finalized,8,10/8/15 13:29,,,break dance,0.8914,post holiday blues,0.5067,9/25/15 13:39,,796448888,9/29/15 2:34,,,,,,,post holiday blues,stupid romance,break dance,boring
802937466,false,finalized,8,10/7/15 23:13,,,eternal peace,0.8779,degree,0.5053,9/25/15 13:39,,796448889,9/29/15 2:34,,,,,,,word,eternal peace,degree,relax
802937467,false,finalized,8,10/7/15 18:08,,,management,1,anger,0.8739,9/25/15 13:39,,796448890,9/29/15 2:34,,,,,,,management,crazy,anger,less
802937468,false,finalized,8,10/7/15 21:10,,,trying,1,pretty grim,0.7557,9/25/15 13:39,,796448891,9/29/15 2:34,,,,,,,trying,super dark,pretty grim,braces
802937469,false,finalized,8,10/7/15 19:12,,,white,1,plain sad,0.6299,9/25/15 13:39,,796448892,9/29/15 2:34,,,,,,,noone to talk,white,losses,plain sad
802937470,false,finalized,8,10/8/15 3:17,,,baby,0.8769,hurt like crazy,1,9/25/15 13:39,,796448893,9/29/15 2:34,,,,,,,strains,baby,hurt like crazy,live close
802937471,false,finalized,8,10/7/15 11:16,,,agree,0.7611,like hell,1,9/25/15 13:39,,796448894,9/29/15 2:34,,,,,,,loud,agree,like hell,the new moon
802937472,false,finalized,8,10/8/15 4:29,,,perfect,1,feel like crying,1,9/25/15 13:39,,796448895,9/29/15 2:34,,,,,,,perfect,boring quotes,spent my money,feel like crying
802937473,false,finalized,8,10/8/15 11:19,,,heartfelt,0.8707,left,0.6226,9/25/15 13:39,,796448896,9/29/15 2:34,,,,,,,cool,heartfelt,just hang in,left
802937474,false,finalized,8,10/7/15 17:28,,,good,0.752,pick me plssss,0.7501,9/25/15 13:39,,796448897,9/29/15 2:34,,,,,,,good,pick me plssss,more,chocolate
802937475,false,finalized,8,10/7/15 23:31,,,laughing out loud,1,epic fail,1,9/25/15 13:39,,796448898,9/29/15 2:34,,,,,,,stupid work,cry,epic fail,laughing out loud
802937476,false,finalized,8,10/8/15 3:25,,,game,1,you're just jealous,0.8735,9/25/15 13:39,,796448899,9/29/15 2:34,,,,,,,game,goes too fast,rear view,you're just jealous
802937477,false,finalized,8,10/8/15 14:20,,,unknown,0.5046,dreams are crushed,1,9/25/15 13:39,,796448900,9/29/15 2:34,,,,,,,spent,unknown,dreams are crushed,tire
802937478,false,finalized,8,10/7/15 17:34,,,whatever works,1,dying,1,9/25/15 13:39,,796448901,9/29/15 2:34,,,,,,,damn job,stinking,dying,whatever works
802937479,false,finalized,8,10/8/15 14:28,,,little helper,0.5082,quit,0.7669,9/25/15 13:39,,796448902,9/29/15 2:34,,,,,,,guilty pleasures,quit,augmented,little helper
802937480,false,finalized,8,10/7/15 22:08,,,#love #at_1st_sight,0.8738,cable,1,9/25/15 13:39,,796448903,9/29/15 2:34,,,,,,,professional,truth,cable,#love #at_1st_sight
802937481,false,finalized,8,10/7/15 18:46,,,blessed you exist,0.8737,won't come back,0.8733,9/25/15 13:39,,796448904,9/29/15 2:34,,,,,,,blessed you exist,help,comments,won't come back
802937482,false,finalized,8,10/8/15 4:30,,,ridiculously awesome,0.8767,tried my best,0.5156,9/25/15 13:39,,796448905,9/29/15 2:34,,,,,,,tried my best,absolute,chilly morning,ridiculously awesome
802937483,false,finalized,8,10/8/15 4:18,,,happy tea drinking,1,just pissed me,0.8998,9/25/15 13:39,,796448906,9/29/15 2:34,,,,,,,sick of working,just pissed me,broken,happy tea drinking
802937484,false,finalized,8,10/7/15 10:32,,,seriously love you,1,just died,1,9/25/15 13:39,,796448907,9/29/15 2:34,,,,,,,seriously love you,just died,passers,happy accident
802937485,false,finalized,8,10/7/15 19:25,,,fave,0.8783,truly gone,0.6221,9/25/15 13:39,,796448908,9/29/15 2:34,,,,,,,truly gone,fave,nite,breaking
802937486,false,finalized,8,10/7/15 3:17,,,sounding good,1,stupid,1,9/25/15 13:39,,796448909,9/29/15 2:34,,,,,,,stupid,actual,sounding good,slip
802937487,false,finalized,8,10/7/15 20:47,,,bloody great,0.8745,rubbish,0.7573,9/25/15 13:39,,796448910,9/29/15 2:34,,,,,,,rubbish,incredibly slow,bloody great,paint
802937488,false,finalized,8,10/7/15 22:20,,,close friends,0.8833,hard to live,1,9/25/15 13:39,,796448911,9/29/15 2:34,,,,,,,hard to live,close friends,#wantit,creature
802937489,false,finalized,8,10/7/15 17:31,,,#dog,0.5118,resist,0.6301,9/25/15 13:39,,796448912,9/29/15 1:26,,,,,,,working,resist,#dog,supposed
802937490,false,finalized,8,10/7/15 4:49,,,fav fight,0.4858,sadness,1,9/25/15 13:39,,796448913,9/29/15 2:34,,,,,,,sorry love,teething baby,sadness,fav fight
802937491,false,finalized,8,10/7/15 23:31,,,friendship,0.7303,against,1,9/25/15 13:39,,796448914,9/29/15 2:34,,,,,,,completely,against,popular demand,friendship
802937492,false,finalized,8,10/7/15 11:55,,,rich,0.7436,bullshit,0.7675,9/25/15 13:39,,796448915,9/29/15 2:34,,,,,,,rich,extremely,bullshit,condolences
802937493,false,finalized,8,10/7/15 18:29,,,mean a lottttt,0.3862,slap,1,9/25/15 13:39,,796448916,9/29/15 2:34,,,,,,,words of wisdom,mean a lottttt,trying new things,slap
802937494,false,finalized,8,10/7/15 6:02,,,long but productive,1,sad smiley,0.6269,9/25/15 13:39,,796448917,9/29/15 2:34,,,,,,,sad smiley,long but productive,want it badly,hope he recovers
802937495,false,finalized,8,10/7/15 5:05,,,little joy,0.5071,store was closed,0.8709,9/25/15 13:39,,796448918,9/29/15 2:34,,,,,,,store was closed,sun,busy holiday,little joy
802937496,false,finalized,8,10/8/15 13:35,,,great mind,0.6155,super slow,1,9/25/15 13:39,,796448919,9/29/15 2:34,,,,,,,great mind,super slow,nice,ill help you
802937497,false,finalized,8,10/7/15 18:24,,,real,0.7549,please kill me,1,9/25/15 13:39,,796448920,9/29/15 2:34,,,,,,,sheer,lonely new years,please kill me,real
802937498,false,finalized,8,10/7/15 22:53,,,great capture,0.7717,theft,1,9/25/15 13:39,,796448921,9/29/15 2:34,,,,,,,whatever u want,great capture,theft,major subject
802937499,false,finalized,8,10/7/15 22:49,,,black coffee,1,no hopes,1,9/25/15 13:39,,796448922,9/29/15 2:34,,,,,,,black coffee,nervous,you're broke,no hopes
802937500,false,finalized,8,10/7/15 18:51,,,serious,0.8743,devil,0.876,9/25/15 13:39,,796448923,9/29/15 2:34,,,,,,,wrecked,serious,devil,stop
802937501,false,finalized,8,10/7/15 10:42,,,new hair cut,1,sucks to live,1,9/25/15 13:39,,796448924,9/29/15 2:34,,,,,,,frozen dinner,traffic court,sucks to live,new hair cut
